,symbol,B,C
246,INTC,Intel Corp.,Information Technology
247,ICE,Intercontinental Exchange,Financials
248,IBM,International Business Machines,Information Technology
249,IFF,International Flavors & Fragrances,Materials
250,IP,International Paper,Materials
251,IPG,Interpublic Group,Communication Services
252,INTU,Intuit Inc.,Information Technology
253,ISRG,Intuitive Surgical Inc.,Health Care
254,IVZ,Invesco Ltd.,Financials
255,IPGP,IPG Photonics Corp.,Information Technology
256,IQV,IQVIA Holdings Inc.,Health Care
257,IRM,Iron Mountain Incorporated,Real Estate
258,JBHT,J. B. Hunt Transport Services,Industrials
259,JKHY,Jack Henry & Associates,Information Technology
260,J,Jacobs Engineering Group,Industrials
261,SJM,JM Smucker,Consumer Staples
262,JNJ,Johnson & Johnson,Health Care
263,JCI,Johnson Controls International,Industrials
264,JPM,JPMorgan Chase & Co.,Financials
265,JNPR,Juniper Networks,Information Technology
266,KSU,Kansas City Southern,Industrials
267,K,Kellogg Co.,Consumer Staples
268,KEY,KeyCorp,Financials
269,KEYS,Keysight Technologies,Information Technology
270,KMB,Kimberly-Clark,Consumer Staples
271,KIM,Kimco Realty,Real Estate
272,KMI,Kinder Morgan,Energy
273,KLAC,KLA Corporation,Information Technology
274,KSS,Kohl's Corp.,Consumer Discretionary
275,KHC,Kraft Heinz Co,Consumer Staples
276,KR,Kroger Co.,Consumer Staples
277,LB,L Brands Inc.,Consumer Discretionary
278,LHX,L3Harris Technologies,Industrials
279,LH,Laboratory Corp. of America Holding,Health Care
280,LRCX,Lam Research,Information Technology
281,LW,Lamb Weston Holdings Inc,Consumer Staples
282,LVS,Las Vegas Sands,Consumer Discretionary
283,LEG,Leggett & Platt,Consumer Discretionary
284,LDOS,Leidos Holdings,Information Technology
285,LEN,Lennar Corp.,Consumer Discretionary
286,LLY,Lilly (Eli) & Co.,Health Care
287,LNC,Lincoln National,Financials
288,LIN,Linde plc,Materials
289,LYV,Live Nation Entertainment,Communication Services
290,LKQ,LKQ Corporation,Consumer Discretionary
291,LMT,Lockheed Martin Corp.,Industrials
292,L,Loews Corp.,Financials
293,LOW,Lowe's Cos.,Consumer Discretionary
294,LYB,LyondellBasell,Materials
295,MTB,M&T Bank Corp.,Financials
296,MRO,Marathon Oil Corp.,Energy
297,MPC,Marathon Petroleum,Energy
298,MKTX,MarketAxess,Financials
299,MAR,Marriott Int'l.,Consumer Discretionary
300,MMC,Marsh & McLennan,Financials
301,MLM,Martin Marietta Materials,Materials
302,MAS,Masco Corp.,Industrials
303,MA,Mastercard Inc.,Information Technology
304,MXIM,Maxim Integrated Products Inc,Information Technology
305,MKC,McCormick & Co.,Consumer Staples
306,MCD,McDonald's Corp.,Consumer Discretionary
307,MCK,McKesson Corp.,Health Care
308,MDT,Medtronic plc,Health Care
309,MRK,Merck & Co.,Health Care
310,MET,MetLife Inc.,Financials
311,MTD,Mettler Toledo,Health Care
312,MGM,MGM Resorts International,Consumer Discretionary
313,MCHP,Microchip Technology,Information Technology
314,MU,Micron Technology,Information Technology
315,MSFT,Microsoft Corp.,Information Technology
316,MAA,Mid-America Apartments,Real Estate
317,MHK,Mohawk Industries,Consumer Discretionary
318,TAP,Molson Coors Beverage Company,Consumer Staples
319,MDLZ,Mondelez International,Consumer Staples
320,MNST,Monster Beverage,Consumer Staples
321,MCO,Moody's Corp,Financials
322,MS,Morgan Stanley,Financials
323,MSI,Motorola Solutions Inc.,Information Technology
324,MSCI,MSCI Inc,Financials
325,MYL,Mylan N.V.,Health Care
326,NDAQ,Nasdaq Inc.,Financials
327,NOV,National Oilwell Varco Inc.,Energy
328,NTAP,NetApp,Information Technology
329,NFLX,Netflix Inc.,Communication Services
330,NWL,Newell Brands,Consumer Discretionary
331,NEM,Newmont Corporation,Materials
332,NWSA,News Corp. Class A,Communication Services
333,NWS,News Corp. Class B,Communication Services
334,NEE,NextEra Energy,Utilities
335,NLSN,Nielsen Holdings,Industrials
336,NKE,Nike Inc.,Consumer Discretionary
337,NI,NiSource Inc.,Utilities
338,NBL,Noble Energy,Energy
339,NSC,Norfolk Southern Corp.,Industrials
340,NTRS,Northern Trust Corp.,Financials
341,NOC,Northrop Grumman,Industrials
342,NLOK,NortonLifeLock,Information Technology
343,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
344,NRG,NRG Energy,Utilities
345,NUE,Nucor Corp.,Materials
346,NVDA,Nvidia Corporation,Information Technology
347,NVR,NVR Inc.,Consumer Discretionary
348,ORLY,O'Reilly Automotive,Consumer Discretionary
349,OXY,Occidental Petroleum,Energy
350,ODFL,Old Dominion Freight Line,Industrials
351,OMC,Omnicom Group,Communication Services
352,OKE,ONEOK,Energy
353,ORCL,Oracle Corp.,Information Technology
354,OTIS,Otis Worldwide,Industrials
355,PCAR,PACCAR Inc.,Industrials
356,PKG,Packaging Corporation of America,Materials
357,PH,Parker-Hannifin,Industrials
358,PAYX,Paychex Inc.,Information Technology
359,PAYC,Paycom,Information Technology
360,PYPL,PayPal,Information Technology
361,PNR,Pentair plc,Industrials
362,PBCT,People's United Financial,Financials
363,PEP,PepsiCo Inc.,Consumer Staples
364,PKI,PerkinElmer,Health Care
365,PRGO,Perrigo,Health Care
366,PFE,Pfizer Inc.,Health Care
367,PM,Philip Morris International,Consumer Staples
368,PSX,Phillips 66,Energy
369,PNW,Pinnacle West Capital,Utilities
370,PXD,Pioneer Natural Resources,Energy
371,PNC,PNC Financial Services,Financials
372,PPG,PPG Industries,Materials
373,PPL,PPL Corp.,Utilities
374,PFG,Principal Financial Group,Financials
375,PG,Procter & Gamble,Consumer Staples
376,PGR,Progressive Corp.,Financials
377,PLD,Prologis,Real Estate
378,PRU,Prudential Financial,Financials
379,PEG,Public Service Enterprise Group (PSEG),Utilities
380,PSA,Public Storage,Real Estate
381,PHM,PulteGroup,Consumer Discretionary
382,PVH,PVH Corp.,Consumer Discretionary
383,QRVO,Qorvo,Information Technology
384,QCOM,QUALCOMM Inc.,Information Technology
385,PWR,Quanta Services Inc.,Industrials
386,DGX,Quest Diagnostics,Health Care
387,RL,Ralph Lauren Corporation,Consumer Discretionary
388,RJF,Raymond James Financial Inc.,Financials
389,RTX,Raytheon Technologies,Industrials
390,O,Realty Income Corporation,Real Estate
391,REG,Regency Centers Corporation,Real Estate
392,REGN,Regeneron Pharmaceuticals,Health Care
393,RF,Regions Financial Corp.,Financials
394,RSG,Republic Services Inc,Industrials
395,RMD,ResMed,Health Care
396,RHI,Robert Half International,Industrials
397,ROK,Rockwell Automation Inc.,Industrials
398,ROL,Rollins Inc.,Industrials
399,ROP,Roper Technologies,Industrials
400,ROST,Ross Stores,Consumer Discretionary
401,RCL,Royal Caribbean Group,Consumer Discretionary
402,SPGI,S&P Global Inc.,Financials
403,CRM,Salesforce.com,Information Technology
404,SBAC,SBA Communications,Real Estate
405,SLB,Schlumberger Ltd.,Energy
406,STX,Seagate Technology,Information Technology
407,SEE,Sealed Air,Materials
408,SRE,Sempra Energy,Utilities
409,NOW,ServiceNow,Information Technology
410,SHW,Sherwin-Williams,Materials
411,SPG,Simon Property Group Inc,Real Estate
412,SWKS,Skyworks Solutions,Information Technology
413,SLG,SL Green Realty,Real Estate
414,SNA,Snap-on,Industrials
415,SO,Southern Company,Utilities
416,LUV,Southwest Airlines,Industrials
417,SWK,Stanley Black & Decker,Industrials
418,SBUX,Starbucks Corp.,Consumer Discretionary
419,STT,State Street Corp.,Financials
420,STE,STERIS plc,Health Care
421,SYK,Stryker Corp.,Health Care
422,SIVB,SVB Financial,Financials
423,SYF,Synchrony Financial,Financials
424,SNPS,Synopsys Inc.,Information Technology
425,SYY,Sysco Corp.,Consumer Staples
426,TMUS,T-Mobile US,Communication Services
427,TROW,T. Rowe Price Group,Financials
428,TTWO,Take-Two Interactive,Communication Services
429,TPR,Tapestry Inc.,Consumer Discretionary
430,TGT,Target Corp.,Consumer Discretionary
431,TEL,TE Connectivity Ltd.,Information Technology
432,FTI,TechnipFMC,Energy
433,TDY,Teledyne Technologies,Industrials
434,TFX,Teleflex,Health Care
435,TXN,Texas Instruments,Information Technology
436,TXT,Textron Inc.,Industrials
437,BK,The Bank of New York Mellon,Financials
438,CLX,The Clorox Company,Consumer Staples
439,COO,The Cooper Companies,Health Care
440,HSY,The Hershey Company,Consumer Staples
441,MOS,The Mosaic Company,Materials
442,TRV,The Travelers Companies Inc.,Financials
443,DIS,The Walt Disney Company,Communication Services
444,TMO,Thermo Fisher Scientific,Health Care
445,TIF,Tiffany & Co.,Consumer Discretionary
446,TJX,TJX Companies Inc.,Consumer Discretionary
447,TSCO,Tractor Supply Company,Consumer Discretionary
448,TT,Trane Technologies plc,Industrials
449,TDG,TransDigm Group,Industrials
450,TFC,Truist Financial,Financials
451,TWTR,Twitter Inc.,Communication Services
452,TYL,Tyler Technologies,Information Technology
453,TSN,Tyson Foods,Consumer Staples
454,USB,U.S. Bancorp,Financials
455,UDR,UDR Inc.,Real Estate
456,ULTA,Ulta Beauty,Consumer Discretionary
457,UAA,Under Armour (Class A),Consumer Discretionary
458,UA,Under Armour (Class C),Consumer Discretionary
459,UNP,Union Pacific Corp,Industrials
460,UAL,United Airlines Holdings,Industrials
461,UNH,United Health Group Inc.,Health Care
462,UPS,United Parcel Service,Industrials
463,URI,United Rentals Inc.,Industrials
464,UHS,Universal Health Services,Health Care
465,UNM,Unum Group,Financials
466,VLO,Valero Energy,Energy
467,VAR,Varian Medical Systems,Health Care
468,VTR,Ventas Inc,Real Estate
469,VRSN,Verisign Inc.,Information Technology
470,VRSK,Verisk Analytics,Industrials
471,VZ,Verizon Communications,Communication Services
472,VRTX,Vertex Pharmaceuticals Inc,Health Care
473,VFC,VF Corporation,Consumer Discretionary
474,VIAC,ViacomCBS,Communication Services
475,V,Visa Inc.,Information Technology
476,VNO,Vornado Realty Trust,Real Estate
477,VMC,Vulcan Materials,Materials
478,WRB,W. R. Berkley Corporation,Financials
479,WAB,Wabtec Corporation,Industrials
480,WBA,Walgreens Boots Alliance,Consumer Staples
481,WMT,Walmart,Consumer Staples
482,WM,Waste Management Inc.,Industrials
483,WAT,Waters Corporation,Health Care
484,WEC,WEC Energy Group,Utilities
485,WFC,Wells Fargo,Financials
486,WELL,Welltower Inc.,Real Estate
487,WST,West Pharmaceutical Services,Health Care
488,WDC,Western Digital,Information Technology
489,WU,Western Union Co,Information Technology
490,WY,Weyerhaeuser,Real Estate
491,WHR,Whirlpool Corp.,Consumer Discretionary
492,WMB,Williams Companies,Energy
493,WLTW,Willis Towers Watson,Financials
494,WYNN,Wynn Resorts Ltd,Consumer Discretionary
495,XEL,Xcel Energy Inc,Utilities
496,XRX,Xerox,Information Technology
497,XLNX,Xilinx,Information Technology
498,XYL,Xylem Inc.,Industrials
499,YUM,Yum! Brands Inc,Consumer Discretionary
500,ZBRA,Zebra Technologies,Information Technology
501,ZBH,Zimmer Biomet Holdings,Health Care
502,ZION,Zions Bancorp,Financials
503,ZTS,Zoetis,Health Care
